1, Intense Honor, Honor Code, Horacio De Paz, Dylan Davis, 12/1
2, Flower Moon, Blame, Linda Rice, Jose Lezcano, 9/2
3, Default Protection, Quality Road, Chad C Brown, Jose L Ortiz, 5/2
4, Precipitate, Pioneerof the Nile, Chad C Brown, Eric Cancel, 1/2
5, School of Thought, Empire Maker, Wayne Potts, Trevor McCarthy, 15/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
