1, Runningforhome, Tiznow, J Tyler Servis, Kendrick Carmouche, 4/1
2, Fast Break, Uncle Mo, Orlando Noda, Jose L Ortiz, 2/1
3, Magnetron, Take Charge Indy, Wayne Potts, Trevor McCarthy, 6/1
4, American Lincoln, Street Sense, Jesus Romero, Samuel Camacho Jr, 30/1
5, Kumar, Into Mischief, Gustavo Rodriguez, Jose Lezcano, 7/2
6, O Shea Can U See, Curlin, Daniel Laxmeter, Luis A Rodriguez Castro, 15/1
7, Crypto Cash, Majesticperfection, Linda Rice, Eric Cancel, 5/2
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
