1, Tangoberg, Teuflesberg, Chris J Englehart, Eric Cancel, 4/1
2, Charlotte Webley, Alpha, Michael A Simmonds, Steven Fret, 8/1
3, Pazzion, Mission Impazible, Ralph DAlessandro, Kevin Navarro, 15/1
4, Captivating Cara, Micromanage, Mitchell E Friedman, Dylan Davis, 3/1
5, Mission Trail, Bellamy Road, John P Mc Allen, Heman K Harkie, 8/1
6, Big Tonys Girl, Speightster, James T Ryerson, Jose Lezcano, 8/1
7, Bettys Smile, Normandy Invasion, Karl M Grusmark, Jacqueline A Davis, 10/1
8, Tootsies Song, Stay Thirsty, Naipaul Chatterpaul, Omar Hernandez Moreno, 15/1
9, Appreciate, Tiznow, John T Toscano Jr, Andre Shivnarine Worrie, 8/1
10, Queentigua, Alpha, Edmund Pringle, Jose Antonio Gomez, 5/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
