1, Luz, Bethel, Antonio Arriaga, Luis A Rodriguez Castro, 30/1
2, Kingdom Queen, Exaggerator, John P Mc Allen, Jacqueline A Davis, 12/1
3, Saratoga Kisses, Kantharos, Rudy R Rodriguez, Trevor McCarthy, 7/2
4, Lanfrankophile, Practical Joke, Natalia Lynch, Jose L Ortiz, 9/2
5, Waters of Merom, Connect, Chad C Brown, Dylan Davis, 3/5
6, Babyitsgoldoutside, Goldencents, Jeremiah C Englehart, Kendrick Carmouche, 6/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
