1, Beautiful Karen, Competitive Edge, Linda Rice, Eric Cancel, 9/5
2, Big Q, Big Brown, Thomas Morley, Dylan Davis, 5/2
3, High School Crush, Twirling Candy, Michelle Nevin, Manuel Franco, 5/1
4, Rainbow Gal, Bustin Stones, Orlando Noda, Jalon L Samuel, 7/2
5, Tappanzee, Honorable Dillon, Domenick L Schettino, Luis A Rodriguez Castro, 12/1
6, Investment Grade, Central Banker, Eduardo E Jones, Jacqueline A Davis, 30/1
7, Guns Blazing, Firing Line, Oscar S Barrera III, Jose Antonio Gomez, 6/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
