1, Chloe Rose, Twirling Candy, Gustavo Rodriguez, Manuel Franco, 5/2
2, Suspended Campaign, Honor Code, David P Duggan, Jose L Ortiz, 9/5
3, Kerik, Commissioner, Orlando Noda, Jalon L Samuel, 12/1
4, Alpine Queen, Reload, Michelle Giangiulio, Jorge A Vargas Jr, 6/1
5, Sweet Mission, Commissioner, Mark A Hennig, Kevin Navarro, 5/1
6, Blushable, Shackleford, William E Morey, Dylan Davis, 3/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
