2, Spun dEtat, Hard Spun, Edward R Barker, Trevor McCarthy, 2/1
7, Shesalittle Edgy, Competitive Edge, Scott A Lake, Eric Cancel, 2/1
1, Easy to Bless, Flat Out, James W Ferraro, Christian Ramos, 6/1
3, Patty H, Flatter, Anthony W Dutrow, Dylan Davis, 5/2
4, Trinni Luck, Trinniberg, Rudy R Rodriguez, Jose Antonio Gomez, 3/1
5, Just Read It, Constitution, Raymond Handal, Jose Lezcano, 6/1
6, Royal Meghan, Uncaptured, Fernando Abreu, Manuel Franco, 8/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
